Name,City,Brand,Model,Year,Mileage,Fuel,Transmission,Engine Capacity,Color,Body Type,Price,Ad URL,Description,Registered In,Assembly,Last Updated:,Ad Ref #,Features,Seller Comments
Suzuki Mehran 2015 for sale in Islamabad,Islamabad,Suzuki,Mehran,2015,117 km,Petrol,Manual,800 cc,White,Hatchback,1270000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2015-for-sale-in-islamabad-10471496,"Alloy Rims. The car was in the use of an Army Officer. 100% original . Totally driven on petrol. All token taxes are paid for life . Just like a Zero Meter car. Looking to sell the car urgently.
price is negotiable 
urgent for sale
dealers and foolish offer wale plzzzzzzz stay away",Islamabad,Local,"Aug 20, 2025",10471496,"['AM/FM Radio', 'CD Player', 'Immobilizer Key']",Alloy Rims. The car was in the use of an Army Officer. 100% original . Totally driven on petrol. All token taxes are paid for life . Just like a Zero Meter car. Looking to sell the car urgently. price is negotiable urgent for sale dealers and foolish offer wale plzzzzzzz stay away Mention PakWheels.com when calling Seller to get a good deal
Suzuki Mehran 2018 for sale in Islamabad,Islamabad,Suzuki,Mehran,2018,"43,000 km",Petrol,Manual,800 cc,White,Hatchback,1285000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2018-for-sale-in-islamabad-10480876,"Suzuki Mehran Vxr Euro 2
Bumper To Bumper Genuine 
Reg:  Sindh 
Gare 100 % Total Genuine ha
Document Clear Ha
Gare Mare Apne Name Pr Ha
Smart Card Life Time Pad
Original File Nmbr Plat Bio Matric On The Spot ha  
gare ka condition bilkul zero meter car jesa ha
Gare total 43k chale ha brand new car h
gare ka body me koi craking dab ya scratch zang nhe ha. new Tyer Lage ha 
gare total sel by sel ha
Engine 100% Standard ha
Ac+Heater Warking Ha
gare ka engine ger sab ok ha gare ma machinecal koi kam nhe ha. 
Urgent sell krne ha. Dealer hazrat our chaska party rabta na kre plzzz apna time west na kre.",Sindh,Local,"Aug 20, 2025",10480876,"['AM/FM Radio', 'Air Conditioning', 'CD Player', 'Immobilizer Key']",Suzuki Mehran Vxr Euro 2 Bumper To Bumper Genuine Reg:  Sindh Gare 100 % Total Genuine ha Document Clear Ha Gare Mare Apne Name Pr Ha Smart Card Life Time Pad Original File Nmbr Plat Bio Matric On The Spot ha gare ka condition bilkul zero meter car jesa ha Gare total 43k chale ha brand new car h gare ka body me koi craking dab ya scratch zang nhe ha. new Tyer Lage ha gare total sel by sel ha Engine 100% Standard ha Ac+Heater Warking Ha gare ka engine ger sab ok ha gare ma machinecal koi kam nhe ha. Urgent sell krne ha. Dealer hazrat our chaska party rabta na kre plzzz apna time west na kre. Mention PakWheels.com when calling Seller to get a good deal
Suzuki Mehran 2014 for sale in Islamabad,Islamabad,Suzuki,Mehran,2014,"880,000 km",Petrol,Manual,796 cc,Solid White,Hatchback,1320000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2014-for-sale-in-islamabad-10489022,"total Genuine car home use Boofer system Ac best streaing chaka bamper to bamper genuine Lightweight allow rims . 100% maintained by dealership. All original documents are complete  . Call/SMS only during office hours please. Petrol driven, CNG never installed . Lifetime token tax paid. Non accidental. Engine is good condition .",Islamabad,Local,"Aug 22, 2025",10489022,"['AM/FM Radio', 'Air Conditioning', 'CD Player', 'Immobilizer Key']","total Genuine car home use Boofer system Ac best streaing chaka bamper to bamper genuine Lightweight allow rims . 100% maintained by dealership. All original documents are complete  . Call/SMS only during office hours please. Petrol driven, CNG never installed . Lifetime token tax paid. Non accidental. Engine is good condition . Mention PakWheels.com when calling Seller to get a good deal"
Suzuki Mehran 2012 for sale in Islamabad,Islamabad,Suzuki,Mehran,2012,"700,000 km",Petrol,Manual,796 cc,Solid White,Hatchback,1270000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2012-for-sale-in-islamabad-9417200,"Total genuine
Digi touching 
2012 model Euro 2
Ac attached but not working properly
Alloy rim & Pati walay tyre
LCD attached amplifier and buffer daba Also attached in the car
Meray name pa ha gari 
Life time Token taxes Paid 
Card & full file Available",Rawalpindi,Local,"Aug 21, 2025",9417200,"['AM/FM Radio', 'Air Conditioning', 'CD Player', 'Immobilizer Key']",Total genuine Digi touching 2012 model Euro 2 Ac attached but not working properly Alloy rim & Pati walay tyre LCD attached amplifier and buffer daba Also attached in the car Meray name pa ha gari Life time Token taxes Paid Card & full file Available Mention PakWheels.com when calling Seller to get a good deal
Suzuki Mehran 2006 for sale in Islamabad,Islamabad,Suzuki,Mehran,2006,"5,000 km",Petrol,Manual,800 cc,Grey,N/A,830000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2006-for-sale-in-islamabad-10488853,Alloy Rims. Complete original file & Biometric  availble . Driven on petrol throughout .,Rawalpindi,Local,"Aug 21, 2025",10488853,"['AM/FM Radio', 'Alloy Rims']",Alloy Rims. Complete original file & Biometric  availble . Driven on petrol throughout . Mention PakWheels.com when calling Seller to get a good deal
Suzuki Mehran 1992 for sale in Islamabad,Islamabad,Suzuki,Mehran,1992,"22,299 km",Petrol,Manual,800 cc,Snow White Pearl,Hatchback,470000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-1992-for-sale-in-islamabad-10488845,The car was in the use of an Army Officer.,Karachi,Local,"Aug 21, 2025",10488845,[],The car was in the use of an Army Officer. Mention PakWheels.com when calling Seller to get a good deal
Suzuki Mehran 2019 for sale in Islamabad,Islamabad,Suzuki,Mehran,2019,"70,000 km",Petrol,Manual,796 cc,Solid White,Hatchback,1890000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2019-for-sale-in-islamabad-10488836,First owner bumper to bumper genuine.just buy and drive,Islamabad,Local,"Aug 21, 2025",10488836,"['Air Conditioning', 'Alloy Rims', 'Immobilizer Key']",First owner bumper to bumper genuine.just buy and drive Mention PakWheels.com when calling Seller to get a good deal
Suzuki Mehran 1995 for sale in Islamabad,Islamabad,Suzuki,Mehran,1995,"100,000 km",Petrol,Manual,800 cc,White,Hatchback,370000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-1995-for-sale-in-islamabad-10488604,"Original return file is available . Petrol driven, CNG never installed .",Karachi,Local,"Aug 21, 2025",10488604,[],"Original return file is available . Petrol driven, CNG never installed . Mention PakWheels.com when calling Seller to get a good deal"
Suzuki Mehran 2018 for sale in Islamabad,Islamabad,Suzuki,Mehran,2018,100 km,Petrol,Manual,796 cc,Graphite Grey,Hatchback,1400000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2018-for-sale-in-islamabad-10488422,"koi b kam ni 
Drive b bht achi ha
A.C b chill",Islamabad,Local,"Aug 21, 2025",10488422,"['AM/FM Radio', 'Air Conditioning', 'Immobilizer Key', 'Power Steering']",koi b kam ni Drive b bht achi ha A.C b chill Mention PakWheels.com when calling Seller to get a good deal
Suzuki Mehran 2011 for sale in Islamabad,Islamabad,Suzuki,Mehran,2011,"105,000 km",Petrol,Manual,800 cc,White,Hatchback,985000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2011-for-sale-in-islamabad-10488169,"genuine car with every thing ok.
oil changed and tuning recently done.new tyre install...new comfortable seats installed. 
suspension and brake shoes newly installed. spark plug newly installed....just buy and drive.....no work to be done. 
in use of a government officer. islamabad number.

Urgently need to sellthe  car. All token taxes are paid to date. Non accidental. New tires installed recently . Lifetime token tax paid. Driven on petrol throughout . All original documents are complete  .",Islamabad,Local,"Aug 21, 2025",10488169,[],genuine car with every thing ok. oil changed and tuning recently done.new tyre install...new comfortable seats installed. suspension and brake shoes newly installed. spark plug newly installed....just buy and drive.....no work to be done. in use of a government officer. islamabad number. Urgently need to sellthe  car. All token taxes are paid to date. Non accidental. New tires installed recently . Lifetime token tax paid. Driven on petrol throughout . All original documents are complete  . Mention PakWheels.com when calling Seller to get a good deal
Suzuki Mehran 2012 for sale in Islamabad,Islamabad,Suzuki,Mehran,2012,"83,000 km",Petrol,Manual,800 cc,White,Hatchback,890000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2012-for-sale-in-islamabad-10488087,"Suzuki mehran vx AC fitted for sale
11 december/12 model
83k mileage
Left fender touching rest total jeniene 
White color
Mechanically fit
Lahore number 
biometric on spot",Lahore,Local,"Aug 21, 2025",10488087,[],Suzuki mehran vx AC fitted for sale 11 december/12 model 83k mileage Left fender touching rest total jeniene White color Mechanically fit Lahore number biometric on spot Mention PakWheels.com when calling Seller to get a good deal
Suzuki Mehran 2007 for sale in Islamabad,Islamabad,Suzuki,Mehran,2007,"10,000 km",Petrol,Manual,800 cc,Silver Metallic,Hatchback,780000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2007-for-sale-in-islamabad-10487963,"mehran 2007 
2nd onwer
new tyres recently change one week
original documents 
seal to seal car 
bio available on the sport 
engine 100%
body 100%
Chaska party stay a way 

urgently saleoriginal documents 
seal to seal car 
bio available on the sport 
engine 100%
body 100%
Chaska party stay a way 
urgent sale 100% original . All original documents are complete  . Petrol driven, Lifetime token tax paid. New tires installed recently . Original Book is available. Urgently need to sellthe  car.",Lahore,Local,"Aug 21, 2025",10487963,"['AM/FM Radio', 'DVD Player']","mehran 2007 2nd onwer new tyres recently change one week original documents seal to seal car bio available on the sport engine 100% body 100% Chaska party stay a way urgently saleoriginal documents seal to seal car bio available on the sport engine 100% body 100% Chaska party stay a way urgent sale 100% original . All original documents are complete  . Petrol driven, Lifetime token tax paid. New tires installed recently . Original Book is available. Urgently need to sellthe  car. Mention PakWheels.com when calling Seller to get a good deal"
Suzuki Mehran 2017 for sale in Islamabad,Islamabad,Suzuki,Mehran,2017,"50,000 km",Petrol,Manual,800 cc,White,Hatchback,1350000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2017-for-sale-in-islamabad-10487855,ak frandar pichila tucap or Fhull janewan Hom use  boofer sound system install  tyre50%rims ilarim. Driven on petrol  No accident.,Islamabad,Local,"Aug 21, 2025",10487855,"['AM/FM Radio', 'Alloy Rims']",ak frandar pichila tucap or Fhull janewan Hom use  boofer sound system install  tyre50%rims ilarim. Driven on petrol  No accident. Mention PakWheels.com when calling Seller to get a good deal
Suzuki Mehran 2008 for sale in Islamabad,Islamabad,Suzuki,Mehran,2008,"60,000 km",Petrol,Manual,800 cc,Blue,Hatchback,875000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2008-for-sale-in-islamabad-10487748,100% original. Brand new tires installed. Driven on petrol throughout. Few paint touchups on the body.,Islamabad,Local,"Aug 21, 2025",10487748,[],100% original. Brand new tires installed. Driven on petrol throughout. Few paint touchups on the body. Mention PakWheels.com when calling Seller to get a good deal
Suzuki Mehran 2004 for sale in Islamabad,Islamabad,Suzuki,Mehran,2004,"64,848 km",Petrol,Manual,800 cc,Silver Metallic,Hatchback,550000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2004-for-sale-in-islamabad-10487674,After Market Alloy rims. All token taxes are paid for life . All taxes paid. Never been into any accident. Brand new tires installed.,Lahore,Local,"Aug 21, 2025",10487674,"['AM/FM Radio', 'Air Conditioning']",After Market Alloy rims. All token taxes are paid for life . All taxes paid. Never been into any accident. Brand new tires installed. Mention PakWheels.com when calling Seller to get a good deal
Suzuki Mehran 2016 for sale in Islamabad,Islamabad,Suzuki,Mehran,2016,"93,000 km",Petrol,Manual,800 cc,Grey,Hatchback,1375000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2016-for-sale-in-islamabad-10443202,"Lightweight allow rims . Owned by Army Officer. Complete original file is availble . Complete service history available. Petrol driven, CNG never installed . In showroom condition. Lifetime token tax paid. Few paint touchups on the body . New tires installed recently . Never been into any accident. Original Book is available. Price is slightly negotiable. Engine in pristine condition . All taxes paid. Looking to sell the car urgently.",Islamabad,Local,"Aug 21, 2025",10443202,"['AM/FM Radio', 'Air Conditioning', 'CD Player', 'Immobilizer Key']","Lightweight allow rims . Owned by Army Officer. Complete original file is availble . Complete service history available. Petrol driven, CNG never installed . In showroom condition. Lifetime token tax paid. Few paint touchups on the body . New tires installed recently . Never been into any accident. Original Book is available. Price is slightly negotiable. Engine in pristine condition . All taxes paid. Looking to sell the car urgently. Mention PakWheels.com when calling Seller to get a good deal"
Suzuki Mehran 2011 for sale in Islamabad,Islamabad,Suzuki,Mehran,2011,"48,000 km",Petrol,Manual,800 cc,Black,Hatchback,600000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2011-for-sale-in-islamabad-10483854,"suzuki mehran 
registered : punjab rawalpindi
engine : fresh
total genuine 
tyre : good 
token : 2025 tak paid
interior : good Everything is in genuine condition .",Punjab,Local,"Aug 21, 2025",10483854,[],suzuki mehran registered : punjab rawalpindi engine : fresh total genuine tyre : good token : 2025 tak paid interior : good Everything is in genuine condition . Mention PakWheels.com when calling Seller to get a good deal
Suzuki Mehran 2015 for sale in Islamabad,Islamabad,Suzuki,Mehran,2015,"34,000 km",Petrol,Manual,800 cc,Grey,Hatchback,1270000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2015-for-sale-in-islamabad-10487025,"DISCOUNT POSSIBLE 
Original file is available.
Family Used Car
Minor Touching On Body
New Tyres Installed",Islamabad,Local,"Aug 21, 2025",10487025,"['AM/FM Radio', 'Air Conditioning', 'CD Player', 'Immobilizer Key']",DISCOUNT POSSIBLE Original file is available. Family Used Car Minor Touching On Body New Tyres Installed Mention PakWheels.com when calling Seller to get a good deal
Suzuki Mehran 2014 for sale in Islamabad,Islamabad,Suzuki,Mehran,2014,"17,500 km",Petrol,Manual,800 cc,Grey,Hatchback,1180000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2014-for-sale-in-islamabad-10459794,"Mehran vx 2014 model
Islambad number
Neat and clean Interior 
Inside total original 
Outer 2 pice tuching with out poteen
Kisi kisam ka kam ni gari me
Return file available 
Bio available 
Clear all token tax life tiem
Alloy rim 
Tape speekr
2 din pahly tuning and oil change
Jis ko samj aye rabta kary folish offer or dealers rabta na kary 
Location sihala Islamabad",Islamabad,Local,"Aug 21, 2025",10459794,"['AM/FM Radio', 'CD Player', 'Immobilizer Key']",Mehran vx 2014 model Islambad number Neat and clean Interior Inside total original Outer 2 pice tuching with out poteen Kisi kisam ka kam ni gari me Return file available Bio available Clear all token tax life tiem Alloy rim Tape speekr 2 din pahly tuning and oil change Jis ko samj aye rabta kary folish offer or dealers rabta na kary Location sihala Islamabad Mention PakWheels.com when calling Seller to get a good deal
Suzuki Mehran 2015 for sale in Islamabad,Islamabad,Suzuki,Mehran,2015,"90,000 km",Petrol,Manual,796 cc,Solid White,Hatchback,1330000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2015-for-sale-in-islamabad-10487001,"model 2015
Total genion no shower no repaint
no touching only qalam
no cracking no welding
engine gear all ok 
Ac install
no work required buy and drive
very good condition
gift for mehran lover
plz contact only whatsapp
firs car visit and  make offer
thanks.",Lahore,Local,"Aug 21, 2025",10487001,"['AM/FM Radio', 'CD Player', 'Immobilizer Key']",model 2015 Total genion no shower no repaint no touching only qalam no cracking no welding engine gear all ok Ac install no work required buy and drive very good condition gift for mehran lover plz contact only whatsapp firs car visit and  make offer thanks. Mention PakWheels.com when calling Seller to get a good deal
Suzuki Mehran 2013 for sale in Islamabad,Islamabad,Suzuki,Mehran,2013,"10,000 km",Petrol,Manual,796 cc,Graphite Grey,Hatchback,1150000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2013-for-sale-in-islamabad-10486166," Suzuki Mehran For Sale – VIP Condition 
Model 2013
 Islamabad Number
 Colour: Demanding Grey
‍ Used by Government Officer
 Sirf Office se Ghar use hui hai
 Highlights:
 Brand New Tyres – Sirf 3 weeks old (Cost: Rs. 68,000)
 Engine Outclass – No Work Required
 Speaker System Installed – Zabardast Sound 
 Stylish Alloy Rims Installed
 Hissa (Suspension) Work: 10/10
🧽 Body Condition: Lush – Like New
 Reason for Sale: Upgrading the car

AC / Heater working 
 WhatsApp Available
 Price Slightly Negotiable on Spot
 Dekhne ke baad hi pasand ajayegi! 
 Location: Islamabad",Islamabad,Local,"Aug 21, 2025",10486166,"['AM/FM Radio', 'Air Conditioning', 'Alloy Rims', 'CD Player', 'Immobilizer Key']","Suzuki Mehran For Sale – VIP Condition Model 2013 Islamabad Number Colour: Demanding Grey ‍ Used by Government Officer Sirf Office se Ghar use hui hai Highlights: Brand New Tyres – Sirf 3 weeks old (Cost: Rs. 68,000) Engine Outclass – No Work Required Speaker System Installed – Zabardast Sound Stylish Alloy Rims Installed Hissa (Suspension) Work: 10/10 🧽 Body Condition: Lush – Like New Reason for Sale: Upgrading the car AC / Heater working WhatsApp Available Price Slightly Negotiable on Spot Dekhne ke baad hi pasand ajayegi! Location: Islamabad Mention PakWheels.com when calling Seller to get a good deal"
Suzuki Mehran 2012 for sale in Islamabad,Islamabad,Suzuki,Mehran,2012,"100,000 km",Petrol,Manual,800 cc,Matelic,Hatchback,1260000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2012-for-sale-in-islamabad-10486894,After Market Alloy rims. 100% original . All original documents are complete  . Totally driven on petrol. Lifetime token tax paid. Fitted with new tires. sound system installed.,Lahore,Local,"Aug 21, 2025",10486894,"['AM/FM Radio', 'Air Conditioning']",After Market Alloy rims. 100% original . All original documents are complete  . Totally driven on petrol. Lifetime token tax paid. Fitted with new tires. sound system installed. Mention PakWheels.com when calling Seller to get a good deal
Suzuki Mehran 2013 for sale in Islamabad,Islamabad,Suzuki,Mehran,2013,"3,000 km",Petrol,Manual,796 cc,Graphite Grey,Hatchback,1050000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2013-for-sale-in-islamabad-10486581,Mehran euro car ha. Clean condition ha.,Sindh,Local,"Aug 21, 2025",10486581,"['AM/FM Radio', 'Air Conditioning', 'CD Player', 'Front Speakers', 'Immobilizer Key', 'USB and Auxillary Cable']",Mehran euro car ha. Clean condition ha. Mention PakWheels.com when calling Seller to get a good deal
